DIC_ROCK_MERGIN,CATEGORY_MERGIN,RCS_TRANSLATION_CAPS,RCS_DESCRITPION,RCS_TRANSLATION_LOWERCASE,RCS_code,DigMap_All,ALL-COUNT,ROCK_HIERARCHY,Composite,RANK01_DESC,RANK02_CODE,RANK02_DESC,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,ARTIFICIAL DEPOSIT,ARTIFICIAL DEPOSIT,"Artificial deposit - A type of artificially modified ground. British Geological Survey Research Report RR/99/04, section 3.",Artificial deposit,ARTDP,0,60335,MAIN,SINGLE,ARTIFICIALLY MODIFIED GROUND,ARTDP,ARTIFICIAL DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,ARTIFICIAL DEPOSIT,ARTIFICIALLY MODIFIED GROUND,"Artificially modified ground - A type of superficial deposit (natural and/or artificial). British Geological Survey Research Report RR/99/04, section 3.",Artificially modified ground,ARTGR,0,7,MAIN,SINGLE,ARTIFICIALLY MODIFIED GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,FAULT ROCKS,CATACLASITE,"Cataclasite - A type of cataclastic-rock. In the Rock Classification Scheme, it is one in which fragments significantly coarser than the matrix comprise 10 - 50% by volume of the rock. British Geological Survey Research Report RR/99/02, section 7.2 and table 4.",Cataclasite,CAT,234,248,MAIN,SINGLE,METAMORPHIC ROCKS AND METASEDIMENTS,MBRK,MECHANICALLY BROKEN AND RECONSTITUTED ROCK (METAMORPHIC),,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,FAULT ROCKS,FAULT-BRECCIA,"Fault-breccia - A type of mechanically broken rock without primary cohesion. In the Rock Classification Scheme, a fault-breccia is not foliated, and contains angular to rounded fragments that comprise more than 30% of the rock which are significantly coarser than the matrix, and are composed of mechanically broken rock fragments and/or mineral grains. British Geological Survey Research Report RR/99/02, section 7.1 and table 3.",Fault-breccia,FBRC,0,490,MAIN,SINGLE,METAMORPHIC ROCKS AND METASEDIMENTS,MBRK,MECHANICALLY BROKEN AND RECONSTITUTED ROCK (METAMORPHIC),,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,FAULT ROCKS,FAULT-GOUGE,"Fault-gouge - A type of mechanically broken rock without primary cohesion. In the Rock Classification Scheme, a fault-gouge may be strongly foliated, and comprises less than 30% fragments lying in fine-grained, commonly clayey matrix. British Geological Survey Research Report RR/99/02, section 7.1 and table 3.",Fault-gouge,FGOUGE,15,73,MAIN,SINGLE,METAMORPHIC ROCKS AND METASEDIMENTS,MBRK,MECHANICALLY BROKEN AND RECONSTITUTED ROCK (METAMORPHIC),,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,FAULT ROCKS,MYLONITE,"Mylonite - A type of mylonitic-rock. In the Rock Classification Scheme, it is one in which porphyroclasts comprise 10 - 50% by volume of the rock. British Geological Survey Research Report RR/99/02, section 7.3 and table 5.",Mylonite,MYLO,310,320,MAIN,SINGLE,METAMORPHIC ROCKS AND METASEDIMENTS,MBRK,MECHANICALLY BROKEN AND RECONSTITUTED ROCK (METAMORPHIC),,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,AGGLOMERATE,"Agglomerate - A type of pyroclastic-rock. In the Rock Classification Scheme, it is a pyroclastic-rock in which more than 75% of the pyroclastic fragments exceed 64 mm in size. Agglomerate and pyroclastic-breccia are separated according to the relative proportion of blocks (angular fragments exceeding 64 mm) and bombs (rounded fragments exceeding 64 mm): if bombs dominate over blocks the rock is agglomerate. It is the consolidated equivalent of bomb-tephra or block-bomb-tephra. British Geological Survey Research Report RR/99/06, section 4.2 and fig. 4.",Agglomerate,AGG,773,1011,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,ANDESITE,"Andesite - A type of andesitic-rock. In the Rock Classification Scheme, this name is used for a fine-grained crystalline igneous rock when the modal mineralogy is available, and the mineral mode plots in fields 9 and 10 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. Andesite and basalt may be separated chemically using SiO<sub>2</sub> content: if wt% SiO<sub>2</sub> is greater than 52% the rock is andesite. British Geological Survey Research Report RR/99/06, section 5.2 and figs. 17a, 19, 21.",Andesite,AND,4739,5039,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,BASALT,"Basalt - A type of basaltic-rock. In the Rock Classification Scheme, this name is used for a fine-grained crystalline igneous rock when the modal mineralogy is available, and the mineral mode plots in fields 9 and 10 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. Andesite and basalt may be separated chemically using SiO<sub>2</sub> content: if wt% SiO<sub>2</sub> is less than 52% the rock is basalt. British Geological Survey Research Report RR/99/06, section 5.2 and figs. 17a, 19.",Basalt,BA,3628,6927,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,BASALT AND ANDESITE,Basalt and andesite,Basalt and andesite,BAAN,1867,1872,CPST,COMPOSITE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
