"RCS","CGI_LITHOLOGY_URI","CGI_LITHOLOGY_LABEL","INSP_LITHOLOGY_URI","INSP_LITHOLOGY_LABEL"
MDSS,http://resource.geosciml.org/classifier/cgi/lithology/clastic_mudstone,Mudstone,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,Mudstone
LATM,http://resource.geosciml.org/classifier/cgi/lithology/basalt,Basalt,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,Basalt
MIGM,http://resource.geosciml.org/classifier/cgi/lithology/migmatite,Migmatite,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite,Migmatite
SLAR,http://resource.geosciml.org/classifier/cgi/lithology/clastic_sandstone,Sandstone,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,Sandstone
GNSMF,http://resource.geosciml.org/classifier/cgi/lithology/gneiss,Gneiss,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,Gneiss
MVIVS,http://resource.geosciml.org/classifier/cgi/lithology/fragmental_igneous_material,Fragmental igneous material,http://inspire.ec.europa.eu/codelist/LithologyValue/fragmentalIgneousMaterial,Fragmental igneous material
SDLM,http://resource.geosciml.org/classifier/cgi/lithology/clastic_sandstone,Sandstone,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,Sandstone
SCON,http://resource.geosciml.org/classifier/cgi/lithology/clastic_sandstone,Sandstone,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,Sandstone
SSCL,http://resource.geosciml.org/classifier/cgi/lithology/sand,Sand,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,Sand
LATM,http://resource.geosciml.org/classifier/cgi/lithology/basalt,Basalt,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,Basalt
PSAMM,http://resource.geosciml.org/classifier/cgi/lithology/quartzite,Quartzite,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,Quartzite
MDSL,http://resource.geosciml.org/classifier/cgi/lithology/clastic_mudstone,Mudstone,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,Mudstone
MSCI,http://resource.geosciml.org/classifier/cgi/lithology/clastic_mudstone,Mudstone,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,Mudstone
MDSS,http://resource.geosciml.org/classifier/cgi/lithology/clastic_mudstone,Mudstone,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,Mudstone
LATM,http://resource.geosciml.org/classifier/cgi/lithology/basalt,Basalt,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,Basalt
SCON,http://resource.geosciml.org/classifier/cgi/lithology/clastic_sandstone,Sandstone,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,Sandstone
MLMST,http://resource.geosciml.org/classifier/cgi/lithology/limestone,Limestone,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,Limestone
MFIR,http://resource.geosciml.org/classifier/cgi/lithology/gabbroid,Gabbroid,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbroid,Gabbroid
