"CODE","DESCRIPTION","TRANSLATION","STATUS","USER_ENTERED","DATE_ENTERED","USER_UPDATED","DATE_UPDATED","TRANSFER","abbrev"
"-","Not Applicable","NOT APPLICABLE","C","MLN",10/6/2004 15:25:11,"MLN",28/1/2005 16:52:25,"I","not applic"
"!","Not Available","NOT AVAILABLE","C","MLN",10/6/2004 15:25:11,"MLN",28/1/2005 16:52:35,"I","not avail"
"?","Not Entered","NOT ENTERED","C","MLN",10/6/2004 15:25:11,"MLN",28/1/2005 16:52:45,"I","not entered"
"0","Primary Syndepositional","PRIMARY SYNDEPOSITIONAL","C","DJLO",17/5/2004 00:00:00,,,"I","D0"
"1","First  Deformation Episode","FIRST  DEFORMATION EPISODE","C","TMOS",22/2/1993 00:00:00,"E_TMOS",22/2/1993 00:00:00,"I","D1"
"2","Second Deformation Episode","SECOND DEFORMATION EPISODE","C","E_TMOS",22/2/1993 00:00:00,,,"I","D2"
"3","Third  Deformation Episode","THIRD  DEFORMATION EPISODE","C","E_TMOS",22/2/1993 00:00:00,,,"I","D3"
"4","Fourth Deformation Episode","FOURTH DEFORMATION EPISODE","C","E_TMOS",22/2/1993 00:00:00,,,"I","D4"
"5","Fifth  Deformation Episode","FIFTH  DEFORMATION EPISODE","C","E_TMOS",22/2/1993 00:00:00,,,"I","D5"
"6","Sixth  Deformation Episode","SIXTH  DEFORMATION EPISODE","C","E_TMOS",22/2/1993 00:00:00,,,"I","D6"
