"fid","geol_theme","geol_theme_category","description","translation","status","user_entered","date_entered","user_updated","date_updated","comments"
1,"Bedrock","ALTERATION_BOUNDARY",,,"C","KIGL",27/11/2023 16:52:42,,,
2,"ManMade","ARTIFICIAL_GROUND_BOUNDARY",,,"C","KIGL",27/11/2023 16:53:09,,,
3,"ManMade","ARTIFICIAL_GROUND_LINE",,,"C","KIGL",27/11/2023 16:53:21,,,
4,"Bedrock","BEDROCK_BOUNDARY",,,"C","KIGL",27/11/2023 16:53:34,,,
5,"Bedrock","BEDROCK_LINE",,,"C","KIGL",27/11/2023 16:53:42,,,
6,"Bedrock","BEDROCK_LINE_UNDERGROUND",,,"C","KIGL",27/11/2023 16:53:48,,,
7,"Bedrock","FAULT_TRACE",,,"C","KIGL",27/11/2023 16:53:55,,,
8,"Bedrock","FOLD_AXIAL_PLANE_TRACE",,,"C","KIGL",27/11/2023 16:54:03,,,
9,"Bedrock","JOINT_TRACE",,,"C","KIGL",27/11/2023 16:54:15,,,
10,"Superficial","LINEAR_LANDFORM_OR_BEDFORM",,,"C","KIGL",27/11/2023 16:54:22,,,
11,"MassMovement","MASS_MOVEMENT_DEPOSIT_BOUNDARY",,,"C","KIGL",27/11/2023 16:54:28,,,
12,"MassMovement","MASS_MOVEMENT_LINE",,,"C","KIGL",27/11/2023 16:54:37,,,
13,"Bedrock","MINERAL_VEIN_TRACE",,,"C","KIGL",27/11/2023 16:54:43,,,
14,"Superficial","QUATERNARY_LIMITS",,,"C","KIGL",27/11/2023 16:54:50,,,
15,"Superficial","SUPERFICIAL_DEPOSIT_BOUNDARY",,,"C","KIGL",27/11/2023 16:55:03,,,
16,"Bedrock","UNCONFORMITY",,,"C","KIGL",27/11/2023 16:55:09,,,
