"fid","line_type","category","description","translation","sec_attrib_list","comments","status","user_entered","date_entered","user_updated","date_updated"
,"axis_of_glacial_flute","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"axis_of_large_scale_glacial_gouge","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"axis_of_megagroove","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"axis_of_swale","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"backfeature_Former_coast","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","arrowheads denote uphill side","C","KIGL",26/11/2023 11:47:04,,
,"backfeature_Lake_margin","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","arrowheads denote uphill side","C","KIGL",26/11/2023 11:47:04,,
,"backfeature_terrace","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","arrowheads denote uphill side","C","KIGL",26/11/2023 11:47:04,,
,"beach_ridge","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","check","C","KIGL",26/11/2023 11:47:04,,
,"buried_channel_centre","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry linear",,"C","KIGL",26/11/2023 11:47:04,,
,"buried_channel_margin","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","beads to outside","C","KIGL",26/11/2023 11:47:04,,
,"cliffline_buried","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","crossmarks on the eroded side","C","KIGL",26/11/2023 11:47:04,,
,"cliffline_natural","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry perpendicular to line","crossmarks on the eroded side","C","KIGL",26/11/2023 11:47:04,,
,"crag_and_tail","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry linear",,"C","KIGL",26/11/2023 11:47:04,,
,"doline_or_karstic_hollow","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"drumlin_crestline","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"drumlin_line_at_base","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"dune_crestline","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"dune_line_at_base","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"elongate_mound_crestline","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"esker_crestline","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"esker_line_at_base","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"glacial_meltwater_channel_centre_undiff","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry linear",,"C","KIGL",26/11/2023 11:47:04,,
,"glacial_meltwater_channel_margin","LINEAR_LANDFORM_OR_BEDFORM",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"glacial_overflow_channel_centre","LINEAR_LANDFORM_OR_BEDFORM",,,"asymmetry linear",,"C","KIGL",26/11/2023 11:47:04,,
,"ice_contact_slope","LINEAR_LANDFORM_OR_BEDFORM",,," asymmetry perpendicular to line","CHECK hachure on upslope","C","KIGL",26/11/2023 11:47:04,,
