"CODE","DESCRIPTION","TRANSLATION","STATUS","USER_ENTERED","DATE_ENTERED","USER_UPDATED","DATE_UPDATED","TRANSFER"
"-","NOT APPLICABLE","NOT APPLICABLE","C","MLN",16/12/2004 18:11:16,,,
"!","NOT AVAILABLE","NOT AVAILABLE","C","MLN",16/12/2004 18:11:46,,,
"?","NOT ENTERED","NOT ENTERED","C","MLN",16/12/2004 18:12:01,,,
"ALAB","ALABASTER","ALABASTER","C","TMCM",16/7/2012 10:11:09,,,"I"
"ALUM","ALUM","ALUM","C","TMOS",31/12/1992 17:05:01,,,
"ANDA","ANDALUSITE","ANDALUSITE","C","TMOS",31/12/1992 17:05:01,,,
"ANHY","ANHYDRITE","ANHYDRITE","C","TMCM",16/7/2012 10:10:45,,,"I"
"ANTH","ANTHRACITE","ANTHRACITE","C","TMOS",31/12/1992 17:05:01,,,
"ANTI","ANTIMONY","ANTIMONY","C","TMOS",31/12/1992 17:05:01,,,
"APPA","APATITE","Apatite","C","MLNDBA",22/7/2016 14:14:58,,,"I"
"ARSC","ARSENIC","ARSENIC","C","TMOS",31/12/1992 17:05:01,,,
"ASBE","ASBESTOS","ASBESTOS","C","MLN",15/12/2004 12:00:24,,,
"BADD","Baddeleyite","Baddeleyite","C","MLNDBA",7/7/2016 16:21:22,,,"I"
"BARY","BARYTE","BARYTE","C","TMOS",31/12/1992 17:05:01,,,
"BAUC","BAUXITIC CLAY","BAUXITIC CLAY","C","TMOS",31/12/1992 17:05:01,,,
"BAUX","BAUXITE","BAUXITE","C","TMOS",31/12/1992 17:05:01,,,
"BBI","BLACKBAND IRONSTONE","BLACKBAND IRONSTONE","C","TMOS",31/12/1992 17:05:01,,,
"BITE","BIOTITE","BIOTITE","C","TMOS",31/12/1992 17:05:01,,,
"BLAE","BLAES","BLAES","C","TMOS",31/12/1992 17:05:01,,,
"CALT","CALCITE","CALCITE","C","TMOS",31/12/1992 17:05:01,,,
"CARN","CARNALLITE","CARNALLITE","C","TMOS",31/12/1992 17:05:01,,,
"CEME","CEMENTSTONE","CEMENTSTONE","C","DJLO",13/4/2005 08:52:09,,,
"CHLK","CHALK","CHALK","C","TMCM",28/10/2009 17:29:34,,,"I"
"CHLR","CHLORITE","CHLORITE","C","TMOS",31/12/1992 17:05:01,,,
"CHRO","CHROMITE","CHROMITE","C","TMOS",31/12/1992 17:05:01,,,
"CHRT","CHERT","CHERT","C","TMCM",16/7/2012 10:11:29,,,"I"
"CLAY","CLAY","CLAY","C","TMOS",31/12/1992 17:05:01,,,
"COB","COBALT","COBALT","C","TMCM",16/7/2012 10:11:45,,,"I"
"COPP","COPPER","COPPER","C","TMOS",31/12/1992 17:05:01,,,
"CORN","CORNSTONE","CORNSTONE","C","TMOS",31/12/1992 17:05:01,,,
"CORU","CORUNDUM","CORUNDUM","C","TMOS",31/12/1992 17:05:01,,,
"DIAT","DIATOMITE","DIATOMITE","C","TMOS",31/12/1992 17:05:01,,,
"DOLM","DOLOMITE","DOLOMITE","C","TMOS",31/12/1992 17:05:01,,,
"DOLR","DOLERITE","DOLERITE","C","TMOS",31/12/1992 17:05:01,,,
"FELD","FELDSPAR","FELDSPAR","C","TMOS",31/12/1992 17:05:01,,,
"FLAG","FLAGSTONE","FLAGSTONE","C","TMOS",31/12/1992 17:05:01,,,
"FLUO","FLUORSPAR","FLUORSPAR","C","MLN",15/12/2004 12:00:24,,,
"FULL","FULLERS EARTH","FULLERS EARTH","C","TMCM",28/10/2009 17:30:19,,,"I"
"GLAU","GLAUCONITE","GLAUCONITE","C","TMOS",31/12/1992 17:05:01,,,
"GNST","GANISTER","GANISTER","C","TMOS",31/12/1992 17:05:01,,,
"GOLD","GOLD","GOLD","C","TMOS",31/12/1992 17:05:01,,,
"GRAN","GRANITE","GRANITE","C","TMOS",31/12/1992 17:05:01,,,
"GRAP","GRAPHITE","GRAPHITE","C","TMOS",31/12/1992 17:05:01,,,
"GRNT","GARNET","GARNET","C","TMOS",31/12/1992 17:05:01,,,
"GYPS","GYPSUM","GYPSUM","C","MLN",15/12/2004 12:00:24,,,
"HAEM","HEMATITE","HEMATITE","C","TMOS",31/12/1992 17:05:01,,,
"HALI","HALITE","HALITE","C","TMOS",31/12/1992 17:05:01,,,
"HYDC","HYDROCARBON","HYDROCARBON","C","TMOS",31/12/1992 17:05:01,,,
"ILME","ILMENITE","ILMENITE","C","TMOS",31/12/1992 17:05:01,,,
"IRON","IRON ORE OR IRONSTONE (UNDIFFERENTIATED)","IRON ORE OR IRONSTONE (UNDIFFERENTIATED)","C","TMOS",31/12/1992 17:05:01,,,
"IROR","IRON ORE","IRON ORE","C","TMOS",31/12/1992 17:05:01,,,
"IRST","IRONSTONE","IRONSTONE","C","TMOS",31/12/1992 17:05:01,,,
"KAIN","KAINITE","KAINITE","C","TMOS",31/12/1992 17:05:01,,,
"KAOL","KAOLINITE","KAOLINITE","C","TMOS",31/12/1992 17:05:01,,,
"KIES","KIESERITE","KIESERITE","C","TMOS",31/12/1992 17:05:01,,,
"KYAN","KYANITE","KYANITE","C","TMOS",31/12/1992 17:05:01,,,
"LANG","LANGBEINITE","LANGBEINITE","C","TMOS",31/12/1992 17:05:01,,,
"LEAD","LEAD","LEAD","C","TMOS",31/12/1992 17:05:01,,,
"LIG","LIGNITE","LIGNITE","C","TMCM",16/7/2012 10:12:05,,,"I"
"LIMO","LIMONITE","LIMONITE","C","TMOS",31/12/1992 17:05:01,,,
"LMST","LIMESTONE","LIMESTONE","C","TMOS",31/12/1992 17:05:01,,,
"MAGN","MAGNETITE","MAGNETITE","C","TMOS",31/12/1992 17:05:01,,,
"MANG","MANGANESE","MANGANESE","C","TMOS",31/12/1992 17:05:01,,,
"MARB","MARBLE","MARBLE","C","TMOS",31/12/1992 17:05:01,,,
"MARL","MARL","MARL","C","TMOS",31/12/1992 17:05:01,,,
"MERC","MERCURY","MERCURY","C","TMOS",31/12/1992 17:05:01,,,
"MHAEM","MICACEOUS HEMATITE","MICACEOUS HEMATITE","C","TMCM",4/10/2012 16:30:20,,,"I"
"MICA","MICA","MICA","C","TMOS",31/12/1992 17:05:01,,,
"MNER","MINERAL RESOURCES, GENERAL","MINERAL RESOURCES, GENERAL","C","TMOS",31/12/1992 17:05:01,,,
"MOLY","MOLYBDENITE","MOLYBDENITE","C","TMOS",31/12/1992 17:05:01,,,
"MONA","Monazite","Monazite","C","MLNDBA",7/7/2016 16:18:10,,,"I"
"MSAL","MAGNESIUM SALT","MAGNESIUM SALT","C","TMOS",31/12/1992 17:05:01,,,
"MUSC","MUSCOVITE","MUSCOVITE","C","TMOS",31/12/1992 17:05:01,,,
"NICK","NICKEL","NICKEL","C","TMOS",31/12/1992 17:05:01,,,
"OCHR","OCHRE","OCHRE","C","MLN",15/12/2004 12:00:24,,,
"OILS","OIL SHALE","OIL SHALE","C","TMOS",31/12/1992 17:05:01,,,
"OLIV","OLIVINE ROCK","OLIVINE ROCK","C","MLN",15/12/2004 12:00:24,,,
"PEAT","PEAT","PEAT","C","TMOS",31/12/1992 17:05:01,,,
"PHOS","PHOSPHATE","PHOSPHATE","C","TMOS",31/12/1992 17:05:01,,,
"POLY","POLYHALITE","POLYHALITE","C","TMOS",31/12/1992 17:05:01,,,
"POTA","POTASSIUM","POTASSIUM","C","TMOS",31/12/1992 17:05:01,,,
"PSAL","POTASSIUM SALT","POTASSIUM SALT","C","TMOS",31/12/1992 17:05:01,,,
"PYRT","PYRITE","PYRITE","C","TMOS",31/12/1992 17:05:01,,,
"QUTZ","QUARTZ","QUARTZ","C","TMOS",31/12/1992 17:05:01,,,
"ROCW","ROCK WOOL","ROCK WOOL","C","MLN",15/12/2004 12:00:24,,,
"ROST","ROADSTONE","ROADSTONE","C","TMOS",31/12/1992 17:05:01,,,
"RUTI","Rutile","Rutile","C","MLNDBA",7/7/2016 16:18:37,,,"I"
"SBI","SLATEYBAND IRONSTONE","SLATEYBAND IRONSTONE","C","TMOS",31/12/1992 17:05:01,,,
"SEAC","SEATCLAY","SEATCLAY","C","DJLO",13/4/2005 08:54:07,,,
"SEAT","SEATEARTH","SEATEARTH","C","TMOS",31/12/1992 17:05:01,,,
"SHAL","SHALE","SHALE","C","TMOS",31/12/1992 17:05:01,,,
"SIDR","SIDERITE","SIDERITE","C","TMOS",31/12/1992 17:05:01,,,
"SILI","SILICA SAND","SILICA SAND","C","TMOS",31/12/1992 17:05:01,,,
"SILR","SILICA ROCK","SILICA ROCK","C","TMOS",31/12/1992 17:05:01,,,
"SILV","SILVER","SILVER","C","TMOS",31/12/1992 17:05:01,,,
"SLAT","SLATE","SLATE","C","TMOS",31/12/1992 17:05:01,,,
"SLPH","SULPHUR","SULPHUR","C","TMCM",16/7/2012 10:12:22,,,"I"
"SOAP","SOAPSTONE","SOAPSTONE","C","TMOS",31/12/1992 17:05:01,,,
"SPRO","SPHAEROSIDERITE","SPHAEROSIDERITE","C","TMOS",31/12/1992 17:05:01,,,
"SYLV","SYLVINE","SYLVINE","C","TMOS",31/12/1992 17:05:01,,,
"TALC","TALC","TALC","C","TMOS",31/12/1992 17:05:01,,,
"TIN","TIN","TIN","C","MLN",15/12/2004 12:00:24,,,
"TITA","TITANIUM","TITANIUM","C","MLN",15/12/2004 12:00:24,,,
"TITE","Titanite","Titanite","C","MLNDBA",7/7/2016 16:20:15,,,"I"
"URAN","URANIUM","URANIUM","C","MLN",15/12/2004 12:00:24,,,
"VERM","VERMICULITE","VERMICULITE","C","TMOS",31/12/1992 17:05:01,,,
"WITH","WITHERITE","WITHERITE","C","DJLO",13/4/2005 08:55:25,,,
"WOLF","WOLFRAM","WOLFRAM","C","TMOS",31/12/1992 17:05:01,,,
"WOLL","WOLLASTONITE","WOLLASTONITE","C","TMOS",31/12/1992 17:05:01,,,
"ZINC","ZINC","ZINC","C","TMOS",31/12/1992 17:05:01,,,
"ZIRC","ZIRCON","ZIRCON","C","MLN",15/12/2004 12:00:24,,,
