"fid","line_type","category","description","translation","sec_attrib_list","comments","status","user_entered","date_entered","user_updated","date_updated"
,"algal_band","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"ash_band_tonstein","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"base_of_lava_flow","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together)",,"C","KIGL",21/11/2023 14:47:49,,
,"bedrock_geology_boundary_grad","BEDROCK_BOUNDARY",,,"none",,"C","KIGL",21/11/2023 14:52:25,,
,"bedrock_geology_boundary_inf","BEDROCK_BOUNDARY",,,"none",,"C","KIGL",21/11/2023 14:52:51,,
,"bedrock_geology_boundary_obs","BEDROCK_BOUNDARY",,,"none",,"C","KIGL",21/11/2023 14:52:51,,
,"bedrock_offshore_closure","BEDROCK_BOUNDARY",,,"none",,"C","KIGL",21/11/2023 15:51:03,,
,"bedrock_polygon_closure","BEDROCK_BOUNDARY",,,"none",,"C","KIGL",21/11/2023 14:52:51,,
,"bone_bed","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"brachiopod_band","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"cementstone_bed","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"coal_seam_inf","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"coal_seam_obs","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"coral_band","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"ductile_shear_inf","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:55:04,,
,"ductile_shear_obs","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:55:04,,
,"dyke_linear_inf","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together)",,"C","KIGL",21/11/2023 14:47:49,,
,"dyke_linear_obs","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together)",,"C","KIGL",21/11/2023 14:47:49,,
,"euestheria_band","BEDROCK_LINE",,,"LEX, RCS (or ? LEX_RCS together), Younging",,"C","KIGL",21/11/2023 14:47:49,,
,"fault_complex_movenent_inf","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:55:04,,
,"fault_complex_movenent_obs","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:55:04,,
,"fault_dextral_inf","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:52:51,,
,"fault_dextral_obs","FAULT_TRACE",,,"hanging wall direction, name","check for left hand rule and alter if necessary","C","KIGL",21/11/2023 14:55:04,,
